SR Legacy                                 ,FNDDS                                   ,Zameret             ,AUSNUT                          ,MEXT                                                               ,Baharain,FoundationFoods
,,ahuz_ibud_nozlim    ,,,,
"Alcohol, ethyl                          ",Alcohol (g)                             ,alcohol             ,alcohol_g                       ,Alcohol                                                            ,,
PUFA 20:4 n-6                             ,,arachidonic         ,,,,PUFA 20:4
Arginine                                  ,,arginine            ,,,,Arginine
,,biotin              ,,Biotin                                                             ,,Biotin
SFA 4:0                                   ,4:0 (g)                                 ,butyric             ,,,,SFA 4:0
"Calcium, Ca                             ",Calcium (mg)                            ,calcium             ,calcium_mg                      ,Calcium                                                            ,,"Calcium, Ca"
SFA 10:0                                  ,10:0 (g)                                ,capric              ,,,,SFA 10:0
SFA 6:0                                   ,6:0 (g)                                 ,caproic             ,,,,SFA 6:0
SFA 8:0                                   ,8:0 (g)                                 ,caprylic            ,,,,SFA 8:0
"Carbohydrate, by difference             ",Carbohydrate (g)                        ,carbohydrates       ,carbohydrate_g                  ,"Carbohydrate, total, calculated by difference                    ",,"Carbohydrate, by difference"
"Carotene, beta                          ","Carotene, beta (mcg)                  ",carotene*           ,betacarotene_ug                 ,beta-Carotene                                                      ,,"Carotene, beta"
Cholesterol                               ,Cholesterol (mg)                        ,cholesterol         ,cholesterol_mg                  ,Cholesterol                                                        ,,Cholesterol
"Choline, total                          ","Choline, total (mg)                   ",choline             ,,,,"Choline, total"
"Copper, Cu                              ",Copper (mg)                             ,copper              ,,Copper                                                             ,,"Copper, Cu"
Cystine                                   ,,cystine             ,,,,Cystine
PUFA 22:6 n-3 (DHA)                       ,22:6 n-3 (g)                            ,docosahexanoic      ,22:6n3DHA_g                     ,,,PUFA 22:6 n-3 (DHA)
PUFA 22:5 n-3 (DPA)                       ,22:5 n-3 (g)                            ,docosapentaenoic    ,22:5n3DPA_g                     ,,,PUFA 22:5 n-3 (DPA)
PUFA 20:5 n-3 (EPA)                       ,20:5 n-3 (g)                            ,eicosapentaenoic    ,20:5n3EPA_g                     ,,,PUFA 20:5 n-3 (EPA)
MUFA 22:1                                 ,22:1 (g)                                ,erucic              ,,,,MUFA 22:1
"Folate, total                           ","Folate, total (mcg)                   ",folate              ,totalfolate_ug                  ,Folate                                                             ,,"Folate, total"
"Folate, DFE                             ","Folate, DFE (mcg_DFE)                 ",folate_dfe          ,,,,
